n,error,dist,nabla,sigma,hv
1769,90,579.019937637,143496771.37,985073.660445,92677658.4724
1842,94,34.1724890992,154853386.422,978644.476991,92722465.3413
1939,95,374.972340761,154853386.422,966060.691087,92705759.9229
2032,90,104.547085348,154853386.422,996956.156662,92706832.7246
2059,93,359.461373935,154853386.422,970152.8646,92723382.8974
1905,90,599.132918588,125768705.628,977574.012633,92716580.8374
1813,86,949.519916553,125768705.628,992571.26575,92657840.6322
1954,88,1316.26917411,154853386.422,987165.584246,92635639.573
1847,91,516.664473821,154853386.422,988280.100237,92689564.8395
2240,91,156.497789379,125754344.977,984940.605178,92704615.5627
2208,94,729.382668765,154853386.422,963097.711907,92677927.8392
1951,93,1056.17895878,125768705.628,960975.933714,92670221.3075
2267,95,813.294759012,154853386.422,960946.987096,92698843.03
2118,89,932.178418849,154853386.422,990404.905142,92667228.0399
2318,96,53.6552463739,154853386.422,976458.895431,92722950.7057
